time obj_dir/Vfhe_alu_top 
ntt_sequence start
load set start
load root start
load data start
load start
bit_rev start
ntt start
a_out 3f45e9de524f5d7b, b_out 1dc66560019a8acf
a_out 1f4313cf94f9ba12, b_out 20bcec306b0045f0
a_out 0f4313cf94fb3a15, b_out 10bcec306b01c5f3
a_out 10bcec306b01c5ef, b_out 2f4313cf94f83a13
a_out 076139e42e20bb56, b_out 189ec61bd1dc44ac
a_out 3ea60e3f4a7faa08, b_out 22d3ca218b83e1de
a_out 2672bba4b6f7cab1, b_out 38136bfa72f8a97d
a_out 13e77ebdc2b293d1, b_out 31ffe2c595619ba7
a_out 0f1fec906c16697a, b_out 2af8b1ec3bc9670e
a_out 1d0c4f3e53efe844, b_out 22f3b0c1ac0a17bc
a_out 00bcec306b0345f1, b_out 1f4313cf94f9ba15
a_out 10bcec306b01c5eb, b_out 2f4313cf94f83a0f
a_out 052a7552ed16e98b, b_out 1ad58aad12e6167b
a_out 2370c544f599cd04, b_out 1c8f3abb0a6032f8
a_out 0d34eb6e2a44387d, b_out 32cb1491d5b5c77f
a_out 07d536f40ef4d8ba, b_out 1e122a8f492256c0
a_out 27e7f9c4df42b5db, b_out 3230a4b7c89a1ab3
a_out 0ad58aad12e7967e, b_out 152a7552ed156990
a_out 0000000000000002, b_out 1ffffffffffd0004
a_out 0179d860d6068bdf, b_out 1e86279f29f67425
a_out 0c4f630de8ee2258, b_out 13b09cf2170eddae
a_out 30e62f23f9e1214c, b_out 0aac47b984053b20
a_out 1c52acdae3ff360e, b_out 281adc479e0e6d92
a_out 062a8a480378658b, b_out 1fbcd73b549ec9f3
a_out 067b3dca2f04b4e3, b_out 139d60b278d81baf
a_out 1179d860d6050bdd, b_out 2e86279f29f4f423
a_out 0c4f630de8ee2256, b_out 13b09cf2170eddac
a_out 00bcec306b0345f1, b_out 1f4313cf94f9ba15
a_out 0ad58aad12e7967c, b_out 152a7552ed15698e
a_out 3289059859297af0, b_out 135e5beafeeab488
a_out 20b1204277ddc806, b_out 19677e3a30020882
a_out 2841811a5646acc3, b_out 37be7ee5a9b65349
a_out 2cc4b7b667fdd9d3, b_out 333b484997ff2639
a_out 03b09cf217105dab, b_out 1c4f630de8eca257
a_out 00bcec306b0345f1, b_out 1f4313cf94f9ba15
a_out 0c4f630de8ee2256, b_out 13b09cf2170eddac
a_out 0e86279f29f7f429, b_out 1179d860d6050be5
a_out 0f249c2ce40c779a, b_out 2f618b7245e6fc92
a_out 275face14af2053d, b_out 1a1a2b7f8b0e86ab
a_out 3baf2df80773aa47, b_out 274482c9a4966d7b
a_out 00b3bf1fe7fc2446, b_out 1c58901e6bedc408
a_out 1c4f630de8eca252, b_out 23b09cf2170d5da8
a_out 0179d860d6068bde, b_out 1e86279f29f67424
a_out 13b09cf2170edda9, b_out 2c4f630de8eb2255
a_out 0c4f630de8ee2256, b_out 13b09cf2170eddac
a_out 30c173951f0a88d5, b_out 12323d2c8cfc8ee9
a_out 34249bc240302630, b_out 08e7b37c13bcc216
a_out 1710b96bfd5c86d3, b_out 0a691ef4d8a7050f
a_out 32cdeaa2d3086aed, b_out 2bb83cfc56e8093d
a_out 0000000000000001, b_out 1ffffffffffd0003
a_out 0f4313cf94fb3a14, b_out 10bcec306b01c5f2
a_out 10bcec306b01c5ef, b_out 2f4313cf94f83a13
a_out 03b09cf217105dad, b_out 1c4f630de8eca259
a_out 0c30bf6c64ac7d92, b_out 33cf40939b4d826e
a_out 1095321f2cd7745b, b_out 2f6acde0d3228ba5
a_out 264315fc3122169b, b_out 184311a2f8d15d8d
a_out 3484025bdf9cf7a7, b_out 0cf5d604f663943d
a_out 1179d860d6050bd8, b_out 2e86279f29f4f41e
a_out 0f4313cf94fb3a15, b_out 10bcec306b01c5f3
a_out 0179d860d6068bdf, b_out 1e86279f29f67425
a_out 0000000000000001, b_out 1ffffffffffd0003
a_out 3835385e76cd9a0e, b_out 0db22924e146956a
a_out 3526497059cb572f, b_out 04f2550c4e147959
a_out 2c9a060be8524be0, b_out 0d7e9870bf8d84b6
a_out 367d6e4e04ad02cb, b_out 0f69f33553672cbb
a_out 1236c491410851c8, b_out 2dc93b6ebef1ae30
a_out 0000000000000002, b_out 1ffffffffffd0004
a_out 1179d860d6050bdb, b_out 2e86279f29f4f421
a_out 0c4f630de8ee2256, b_out 13b09cf2170eddac
a_out 337cf51fa2c8346c, b_out 2c830ae05d34cb98
a_out 275a37f51d7e0597, b_out 38a5c80ae27efa6d
a_out 0e87969c998f678a, b_out 32f241c43c712456
a_out 3d157c5356ee09f4, b_out 0170ab4bd3056a30
a_out 0f4313cf94fb3a15, b_out 10bcec306b01c5f3
a_out 0dc93b6ebef4ae34, b_out 1236c491410851ce
a_out 152a7552ed156989, b_out 2ad58aad12e49679
a_out 1dc93b6ebef32e33, b_out 2236c4914106d1cd
a_out 3e156488807f63ab, b_out 3ef6eab5d36d84a7
